inst,pin,x,y,dist_left,dist_right,dist_bottom,dist_top
_07714_,A2,535.15625,58.858337,535.15625,336.84375,58.85833740234375,808.3291625976562
_07717_,A1,527.5625,65.645836,527.5625,344.4375,65.64583587646484,801.5416641235352
_07734_,B,502.39587,79.52084,502.3958740234375,369.6041259765625,79.52084350585938,787.6666564941406
_07735_,A,485.43753,65.28126,485.4375305175781,386.5624694824219,65.28125762939453,801.9062423706055
_07744_,A,515.5208,65.69792,515.5208129882812,356.47918701171875,65.69792175292969,801.4895782470703
_07746_,B,510.56253,72.21875,510.5625305175781,361.4374694824219,72.21875,794.96875
_09862_,A1,576.86456,197.51044,576.8645629882812,295.13543701171875,197.51043701171875,669.6770629882812
_09941_,A1,595.41675,197.09377,595.416748046875,276.583251953125,197.09376525878906,670.0937347412109
_10413_,A,526.6042,79.52084,526.6041870117188,345.39581298828125,79.52084350585938,787.6666564941406
_10975_,A1,556.7083,190.15627,556.7083129882812,315.29168701171875,190.15626525878906,677.0312347412109
P1.B$_DFFE_PP0P_,Q,610.06256,190.78127,610.0625610351562,261.93743896484375,190.78126525878906,676.4062347412109
_07474_,A,505.56253,683.0834,505.5625305175781,366.4374694824219,683.0833740234375,184.1041259765625
_07504_,D,507.80627,593.0209,507.8062744140625,364.1937255859375,593.0208740234375,274.1666259765625
_07526_,D,518.67706,586.01044,518.6770629882812,353.32293701171875,586.0104370117188,281.17706298828125
_07536_,A3,514.1292,613.7605,514.1292114257812,357.87078857421875,613.760498046875,253.427001953125
_07609_,A2,516.5625,599.8855,516.5625,355.4375,599.885498046875,267.302001953125
_07616_,A2,501.23962,585.80206,501.2396240234375,370.7603759765625,585.8020629882812,281.38543701171875
_07620_,A2,508.85837,587.11456,508.8583679199219,363.1416320800781,587.1145629882812,280.07293701171875
_08792_,A,497.6042,620.6459,497.60418701171875,374.39581298828125,620.6458740234375,246.5416259765625
_10107_,B2,536.0,683.1355,536.0,336.0,683.135498046875,184.052001953125
_13900_,A,534.44794,722.4626,534.4479370117188,337.55206298828125,722.4625854492188,144.72491455078125
P1.IR[0]$_DFFE_PP0N_,Q,503.06253,718.0313,503.0625305175781,368.9374694824219,718.0313110351562,149.15618896484375
_07570_,A1,507.29587,447.26044,507.2958679199219,364.7041320800781,447.26043701171875,419.92706298828125
_07558_,A1,512.29584,454.19794,512.2958374023438,359.70416259765625,454.19793701171875,412.98956298828125
_07516_,A,509.9792,468.02087,509.97918701171875,362.02081298828125,468.0208740234375,399.1666259765625
_07505_,A,515.0938,432.95837,515.0938110351562,356.90618896484375,432.9583740234375,434.2291259765625
_07486_,B,513.44794,440.39587,513.4479370117188,358.55206298828125,440.3958740234375,426.7916259765625
P1.IR[10]$_DFF_PP0_,Q,501.06253,468.28128,501.0625305175781,370.9374694824219,468.2812805175781,398.9062194824219
